variable,clinical_interpretation,cause_specific_hazard_ratio,ci_95_lower,ci_95_upper,p_value
age_per_10_years,Age: per 10-year increase,1.1722462111999354,0.9911864134750666,1.386380161179611,0.06337576945511691
male_sex,Male sex: versus female,1.4780280406554682,0.8706963001280021,2.5089883678645317,0.14786254269538182
surgery_year_centered,Year of surgery: per 1-year increase,0.9088055199784635,0.8073613486985434,1.0229960530990374,0.11331296717075114
log2_tumour_thickness,Tumour thickness: per doubling,1.428275424731582,1.1187884827486878,1.8233747668552087,0.004225980616393469
ulceration_present,Tumour ulceration: present versus absent,2.7001418983376473,1.434518818999742,5.082377571206854,0.0020830303778848615
