variable,clinical_interpretation,log_hazard_ratio,hazard_ratio,ci_95_lower,ci_95_upper,p_value
age_per_10_years,Age: per 10-year increase,0.23671337689629157,1.267077891925286,1.0850882823170054,1.4795905645369312,0.002769570824601652
male_sex,Male sex: versus female,0.38971159184182336,1.4765548819934007,0.9185439229403237,2.3735547806571144,0.10758633121458293
surgery_year_centered,Year of surgery: per 1-year increase,-0.08044057654717261,0.9227097325529429,0.8287358101792455,1.0273397626727117,0.14216003455933254
log2_tumour_thickness,Tumour thickness: per doubling,0.2805510842207545,1.3238591692491102,1.0678256438431755,1.6412820858068264,0.01051525584158616
ulceration_present,Tumour ulceration during 0 to 5 years,1.1633092624255532,3.200507088557286,1.6410944484912464,6.24171608972454,0.0006413030387892139
ulceration_after_5_years,Additional ulceration association beyond 5 years,-1.1547973902697835,0.3151213770930714,0.09922539444610677,1.000766818366928,0.050152163807608896
